Load	Stroke	Strain	Time
292.000000	0.112500	4.094000	0.625733
289.000000	0.112500	4.094000	0.626900
289.000000	0.112800	4.094000	0.628050
289.000000	0.113000	4.094000	0.629283
285.000000	0.113500	4.094000	0.630433
286.000000	0.113500	4.094000	0.632133
290.000000	0.114000	4.094000	0.633433
286.000000	0.114300	4.094000	0.634583
287.000000	0.114300	4.094000	0.635750
289.000000	0.114800	4.094000	0.636900
285.000000	0.114800	4.094000	0.638067
289.000000	0.115100	4.094000	0.639217
284.000000	0.115300	4.094000	0.640350
286.000000	0.115600	4.094000	0.641500
286.000000	0.115800	4.094000	0.642667
285.000000	0.116100	4.094000	0.643817
286.000000	0.116300	4.094000	0.644983
286.000000	0.116600	4.094000	0.646133
290.000000	0.116800	4.094000	0.647267
285.000000	0.117100	4.094000	0.648950
287.000000	0.117300	4.094000	0.650133
281.000000	0.117600	4.094000	0.651267
287.000000	0.117900	4.094000	0.652417
287.000000	0.118100	4.094000	0.653583
286.000000	0.118400	4.094000	0.654733
286.000000	0.118400	4.094000	0.655900
279.000000	0.118600	4.094000	0.657050
283.000000	0.118900	4.094000	0.658183
284.000000	0.119100	4.094000	0.659333
287.000000	0.119400	4.094000	0.660500
284.000000	0.119600	4.094000	0.661650
284.000000	0.119900	4.094000	0.662817
284.000000	0.120100	4.094000	0.663967
284.000000	0.120400	4.094000	0.666200
287.000000	0.120700	4.094000	0.667367
283.000000	0.120900	4.094000	0.668500
288.000000	0.121200	4.094000	0.669650
284.000000	0.121400	4.094000	0.670950
286.000000	0.121700	4.094000	0.672083
282.000000	0.121900	4.094000	0.673233
285.000000	0.122200	4.094000	0.674417
285.000000	0.122400	4.094000	0.675567
283.000000	0.122400	4.094000	0.676733
281.000000	0.122900	4.094000	0.677883
283.000000	0.122900	4.094000	0.679017
283.000000	0.123400	4.094000	0.680167
285.000000	0.123400	4.094000	0.681333
286.000000	0.124000	4.094000	0.683017
282.000000	0.124200	4.094000	0.684150
282.000000	0.124500	4.094000	0.685300
286.000000	0.124700	4.094000	0.686433
283.000000	0.124700	4.094000	0.687600
282.000000	0.125000	4.094000	0.688750
283.000000	0.125200	4.094000	0.689900
280.000000	0.125500	4.094000	0.691067
284.000000	0.125700	4.094000	0.692250
281.000000	0.126000	4.094000	0.693383
281.000000	0.126200	4.094000	0.694533
282.000000	0.126500	4.094000	0.695683
279.000000	0.126700	4.094000	0.696817
282.000000	0.127000	4.094000	0.697950
282.000000	0.127000	4.094000	0.699650
282.000000	0.127500	4.094000	0.700783
280.000000	0.127800	4.094000	0.701933
284.000000	0.128000	4.094000	0.703083
282.000000	0.128000	4.094000	0.704267
281.000000	0.128300	4.094000	0.705417
281.000000	0.128500	4.094000	0.706583
281.000000	0.128800	4.094000	0.707717
284.000000	0.129000	4.094000	0.708867
282.000000	0.129300	4.094000	0.710033
283.000000	0.129500	4.094000	0.711167
280.000000	0.129800	4.094000	0.712317
286.000000	0.130000	4.094000	0.713483
278.000000	0.130300	4.094000	0.714617
283.000000	0.130600	4.094000	0.717083
281.000000	0.130800	4.094000	0.718217
278.000000	0.131100	4.094000	0.719367
281.000000	0.131300	4.094000	0.720517
279.000000	0.131600	4.094000	0.721667
283.000000	0.131800	4.094000	0.722833
276.000000	0.132100	4.094000	0.724000
277.000000	0.132300	4.094000	0.725133
280.000000	0.132600	4.094000	0.726283
282.000000	0.132600	4.094000	0.727433
279.000000	0.132800	4.094000	0.728567
282.000000	0.133400	4.094000	0.729733
282.000000	0.133600	4.094000	0.730883
280.000000	0.133600	4.094000	0.732017
280.000000	0.133900	4.094000	0.733733
281.000000	0.134400	4.094000	0.734883
275.000000	0.134600	4.094000	0.736017
276.000000	0.134600	4.094000	0.737167
280.000000	0.134900	4.094000	0.738333
278.000000	0.135100	4.094000	0.739483
280.000000	0.135400	4.094000	0.740650
276.000000	0.135600	4.094000	0.741833
278.000000	0.135900	4.094000	0.742983
282.000000	0.136100	4.094000	0.744167
279.000000	0.136400	4.094000	0.745333
286.000000	0.136700	4.094000	0.746483
276.000000	0.136900	4.094000	0.747650
278.000000	0.137200	4.094000	0.748800
278.000000	0.137200	4.094000	0.751583
278.000000	0.137900	4.094000	0.752750
280.000000	0.138200	4.094000	0.753900
278.000000	0.138200	4.094000	0.755067
278.000000	0.138700	4.094000	0.756217
279.000000	0.138700	4.094000	0.757350
275.000000	0.138900	4.094000	0.758500
280.000000	0.139200	4.094000	0.759667
281.000000	0.139400	4.094000	0.760817
282.000000	0.139700	4.094000	0.761983
279.000000	0.140000	4.094000	0.763167
277.000000	0.140200	4.094000	0.764867
278.000000	0.140500	4.094000	0.766017
277.000000	0.140700	4.094000	0.767717
281.000000	0.141000	4.094000	0.768850
276.000000	0.141200	4.094000	0.770000
279.000000	0.141500	4.094000	0.771167
273.000000	0.141700	4.094000	0.772317
276.000000	0.142000	4.094000	0.773483
279.000000	0.142200	4.094000	0.774633
277.000000	0.142500	4.094000	0.775767
280.000000	0.142700	4.094000	0.776917
280.000000	0.142700	4.094000	0.778083
279.000000	0.143300	4.094000	0.779283
276.000000	0.143300	4.094000	0.780433
277.000000	0.143500	4.094000	0.781583
275.000000	0.143800	4.094000	0.782733
281.000000	0.144000	4.094000	0.784450
279.000000	0.144500	4.094000	0.785600
277.000000	0.144800	4.094000	0.786733
274.000000	0.144800	4.094000	0.787900
275.000000	0.145000	4.094000	0.789050
275.000000	0.145300	4.094000	0.790183
277.000000	0.145500	4.094000	0.791333
278.000000	0.145800	4.094000	0.792517
276.000000	0.146100	4.094000	0.793650
279.000000	0.146300	4.094000	0.794817
275.000000	0.146600	4.094000	0.795967
276.000000	0.146800	4.094000	0.797100
275.000000	0.146800	4.094000	0.798250
277.000000	0.147100	4.094000	0.799417
279.000000	0.147300	4.094000	0.802017
273.000000	0.147800	4.094000	0.803200
275.000000	0.148100	4.094000	0.804350
274.000000	0.148300	4.094000	0.805500
276.000000	0.148600	4.094000	0.806667
276.000000	0.148800	4.094000	0.807817
276.000000	0.149100	4.094000	0.808983
273.000000	0.149400	4.094000	0.810150
278.000000	0.149400	4.094000	0.811583
275.000000	0.149900	4.094000	0.812900
275.000000	0.150100	4.094000	0.814050
276.000000	0.150400	4.094000	0.815200
276.000000	0.150600	4.094000	0.816367
278.000000	0.150900	4.094000	0.818100
276.000000	0.151100	4.094000	0.819250
272.000000	0.151400	4.094000	0.820417
278.000000	0.151600	4.094000	0.821583
275.000000	0.151900	4.094000	0.822733
278.000000	0.151900	4.094000	0.823900
274.000000	0.152400	4.094000	0.825117
275.000000	0.152400	4.094000	0.826250
275.000000	0.152700	4.094000	0.827400
282.000000	0.152900	4.094000	0.828550
279.000000	0.153200	4.094000	0.829700
282.000000	0.153400	4.094000	0.830867
279.000000	0.153700	4.094000	0.832017
275.000000	0.153900	4.094000	0.833150
275.000000	0.154200	4.094000	0.835783
277.000000	0.154700	4.094000	0.836933
278.000000	0.154900	4.094000	0.838100
276.000000	0.154900	4.094000	0.839267
274.000000	0.155400	4.094000	0.840417
272.000000	0.155400	4.094000	0.841767
274.000000	0.156000	4.094000	0.842933
272.000000	0.156000	4.094000	0.844083
276.000000	0.156200	4.094000	0.845250
276.000000	0.156700	4.094000	0.846417
278.000000	0.157000	4.094000	0.847567
281.000000	0.157000	4.094000	0.848733
275.000000	0.157200	4.094000	0.850100
272.000000	0.157500	4.094000	0.852717
273.000000	0.158000	4.094000	0.853900
274.000000	0.158200	4.094000	0.855050
272.000000	0.158500	4.094000	0.856217
271.000000	0.158800	4.094000	0.857400
277.000000	0.159000	4.094000	0.858550
275.000000	0.159000	4.094000	0.859717
275.000000	0.159500	4.094000	0.860867
277.000000	0.159500	4.094000	0.862017
276.000000	0.160000	4.094000	0.863183
272.000000	0.160000	4.094000	0.864350
277.000000	0.160500	4.094000	0.865500
274.000000	0.160500	4.094000	0.867217
272.000000	0.161000	4.094000	0.868950
274.000000	0.161300	4.094000	0.870100
271.000000	0.161500	4.094000	0.871250
271.000000	0.161800	4.094000	0.872400
279.000000	0.162100	4.094000	0.873533
273.000000	0.162100	4.094000	0.874700
274.000000	0.162600	4.094000	0.875850
276.000000	0.162600	4.094000	0.876983
273.000000	0.162800	4.094000	0.878133
273.000000	0.163100	4.094000	0.879300
276.000000	0.163300	4.094000	0.880450
271.000000	0.163600	4.094000	0.881617
278.000000	0.163800	4.094000	0.882767
276.000000	0.164100	4.094000	0.883900
280.000000	0.164300	4.094000	0.885617
